,XGBoost,LightGBM,RandomForest,Ensemble_Average
thalach,0.15138495,0.31683168316831684,0.19325247559613903,0.22048970281619965
age,0.15135431,0.31683168316831684,0.18828980903118966,0.2188252683654117
cp_3,0.13508627,0.1485148514851485,0.07445456262650858,0.11935189409940877
thal_3,0.10774133,0.09900990099009901,0.08446284466609427,0.09707135973348253
ca,0.14238636,0.04950495049504951,0.09459456885389504,0.09549529376851364
thal_1,0.16509165,0.04950495049504951,0.07167295268086746,0.09542318395792333
oldpeak,0.048340704,0.019801980198019802,0.12013161945793423,0.06275810131600433
chol,0.09861437,0.0,0.05527845939293076,0.05129761056865112
slope_1,0.0,0.0,0.03395477095310514,0.011318256984368379
restecg_2,0.0,0.0,0.028406460325616372,0.00946882010853879
trestbps,0.0,0.0,0.02535648175568142,0.00845216058522714
cp_2,0.0,0.0,0.005905823514677335,0.001968607838225778
cp_1,0.0,0.0,0.00542737698770918,0.0018091256625697267
fbs,0.0,0.0,0.005106415541471223,0.0017021385138237411
slope_0,0.0,0.0,0.003950309432835645,0.001316769810945215
slope_2,0.0,0.0,0.0033700454403823225,0.0011233484801274408
restecg_0,0.0,0.0,0.0032615187442206796,0.0010871729147402265
exang,0.0,0.0,0.002072612414380522,0.0006908708047935072
sex,0.0,0.0,0.0006003398378211688,0.0002001132792737229
thal_2,0.0,0.0,0.0002591041047565612,8.636803491885373e-05
cp_0,0.0,0.0,0.000191448641783184,6.3816213927728e-05
restecg_1,0.0,0.0,0.0,0.0
