,XGBoost_Statlog,LightGBM_Statlog,RandomForest_Statlog,Target_Avg_Importance
age,0.15135431,0.316831683,0.188289809,0.218825268
sex,0,0,0.00060034,0.000200113
trestbps,0,0,0.025356482,0.008452161
chol,0.09861437,0,0.055278459,0.051297611
fbs,0,0,0.005106416,0.001702139
thalach,0.15138495,0.316831683,0.193252476,0.220489703
exang,0,0,0.002072612,0.000690871
oldpeak,0.048340704,0.01980198,0.120131619,0.062758101
ca,0.14238636,0.04950495,0.094594569,0.095495294
cp_0,0,0,0.000191449,6.38E-05
cp_1,0,0,0.005427377,0.001809126
cp_2,0,0,0.005905824,0.001968608
cp_3,0.13508627,0.148514851,0.074454563,0.119351894
restecg_0,0,0,0.003261519,0.001087173
restecg_1,0,0,0,0
restecg_2,0,0,0.02840646,0.00946882
slope_0,0,0,0.003950309,0.00131677
slope_1,0,0,0.033954771,0.011318257
slope_2,0,0,0.003370045,0.001123348
thal_1,0.16509165,0.04950495,0.071672953,0.095423184
thal_2,0,0,0.000259104,8.64E-05
thal_3,0.10774133,0.099009901,0.084462845,0.09707136
